Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Information Management Manager,Dubai,Wood Plc,None,Develop reporting tools to aid Project Managers & Project Engineers. Ensuring both IT security and data security is stringently applied.,None,None,2021-03-08
Client Relationship Executive (Female) DMS Global – Dubai,Dubai,DMS Global,"10,000-12,000","Obtaining client feedback, and put it in action. Below are the job responsibilities for the account manager, however, the job is not solely limited to the below…",None,,2021-02-22
Category Manager - Bakery Solutions,Dubai,Bidfood,"15,000-20,000",It is essential that you hold a College Degree. Accountable to achieve and exceed the sales and profitability targets set by the brand and by the company.,None,5,2021-03-09
Assistant Operations Manager,Dubai International City,Al Qawafel Express Cargo Transport by Heavy Trucks...,"4,000",Freshers no need to apply \*\*. An all round Road Container Transport specialist with Middle East experience who is currently in the region and has experience…,None,None,2021-03-10
Housekeeping Manager,Dubai,MOVENPICK,None,"What is in it for you: As a Housekeeping Manager, you will show your leadership and interpersonal strengths to maximize the Rooms Operations, and ensure an…",None,None,2021-03-17
Drilling fluids specialist - Oil field chemical,Dubai,ISCS,"5,000-15,000","Complies with all company and regulatory Quality, HSE and IT standards and policies. He/She reports to the Location or Field Service Manager and is directly…",None,None,2021-03-20
Senior accountant,Jebel Ali,National Oilwell Varco,None,"It is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities required by the incumbent.",Senior,None,2021-03-22
Manager – Lean Transformation,Dubai,ECS ME LLC,"15,000-30,000",Experience implementing Lean in IT organization or service organizations or Ops/Manufacturing environment (with IT knowledge). 3+ years’ experience in IT.,None,None,2021-03-07
Chef,Dubai,Community Advisor,"6,000-12,000","During service periods, to call orders to kitchen brigade, issue food to waiters, checking everything before it leaves the kitchen and make sure it is of the…",None,None,2021-03-18
IT Manager (Systems & Applications Development),Dubai,Middle East Executive,None,"The IT Manager is responsible for the implementation, operations and maintenance of all non-ERP applications and systems deployed within the corporate computing…",None,None,2021-02-20
Business Development Manager,Dubai,Easy PIN DMCC,"5,000-16,000","Business Development Manager – Gift Card Solutions. We work with great clients using our amazing technology, and more brands need to know about it.",None,2,2021-03-11
GCC Biologics Medical Manager,Dubai,AstraZeneca,None,"Provide effective Medical/clinical trainings (basic science and disease knowledge, drug profile, clinical data) to internal colleagues in line with expressed…",None,None,2021-02-22
Coordinator - Purchasing,Dubai,Kitopi,None,"So, what does it really mean to work at Kitopi? Managing external and internal stakeholders while coordinating with Kitopi Kitchen Managers.",None,None,2021-03-18
"Summer Intern, Franchise",Dubai,MasterCard,None,"Manager coaching and guidance on project. It focuses on providing interns with an opportunity to learn about Mastercard’s business, build foundational…",None,None,2021-03-17
Manager - Application Operations,Dubai,Majid Al Futtaim,None,Strong IT Operations Management experience. IT proficient to understand new trends and technologies in the market. Provides 24/7 support as required.,None,None,2021-03-14
Reservation Agent,Dubai,FAIRMONT,None,"Previous Property Manager System experience preferred. At Accor, all guest service has the potential to create a lasting memory when it is delivered with warmth…",None,None,2021-03-21
Information Security Assurance Manager,Dubai,Mott MacDonald,None,"You can learn more about it here! At Mott MacDonald, we believe it makes business sense for you and your manager to choose how you can work most effectively to…",None,None,2021-03-21
General Cashier/Paymaster,Dubai,MOVENPICK,None,What is in it for you: Prepare General Cashier’s Daily Report and forward it to Income Auditor for review. Prepare bank deposits for all cheques and cash and…,None,None,2021-03-18
Manager – Shop in Shop,Dubai,"Disney Parks, Experiences and Products",None,"Lead business decisions of key milestones within the merchandise production calendar from product development, sourcing, operations, IT, logistics, accounting…",None,None,2021-02-20
"Manager, Business Management Support",Dubai,Emirates NBD,None,"Manager, Business Management Support | P. Manager, Business Management Support | P. Work closely with IT and other internal stakeholders to drive process and…",None,None,2021-03-09
Infrastructure Ops Manager,Dubai,Majid Al Futtaim,None,"IT Management, Projects, and Business Departments on the IT Infrastructure requirements of installed and planned IT equipment, covering network, security, IP…",None,None,2021-03-12
