Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
PMO Lead Consultant,Dubai,Virtusa,None,"Should have implementation knowledge in Fircosoft AML Compliance system. We have partnered with our clients to win awards from Gartner, IDC, WfMC and other…",None,None,3/6/21
Manager - CX Solutions,Dubai,Majid Al Futtaim,None,Continuous Improvements through System enhancements. Improved Business System use and adoption for CX Applications.,None,None,3/12/21
"Product Analyst, TikTok Ads, MENAT",Dubai,Jobsite Direct,None,"Leverage syndicated 3rd party research services and 1st party internal systems to compile, synthesise, and turn-around rapid insights collateral to meet inbound…",None,None,3/13/21
Chief Financial Officer,Dubai,Phantom Associates,None,Set up and oversee the company’s finance IT system. Manage a team of financial controllers and financial analysts. Drive the company’s financial planning.,None,None,2/18/21
Compliance Testing,Dubai,Virtusa,None,Excellent knowledge in building test labs for solutions systems integration testing in various verticals using open systems. Should have a minumum of 5+ yr.,None,None,2/18/21
Digital Analytics Manager,Dubai,Puffy,None,"Bachelor's degree in Computer Science, IT, Statistics, or other relevant majors. Acquire data from primary or secondary data sources and maintain databases/data…",None,None,2/18/21
Head of Compliance / MLRO - UAE,Dubai,Mamo,None,"Experience in process and systems design. If it makes sense, we’ll have a meeting to talk more. Experience collaborating with multidisciplinary teams of Product…",None,None,3/1/21
Chief Financial Officer (CFO),Dubai,MSI Qatar (Management Solutions International),None,Manage vendor relationships - Prepare reliable current and forecasting reports - Set up and oversee the company's finance IT system - Ensure compliance with the…,None,None,2/18/21
Senior Solutions Architect,Dubai,Chalhoub Group,None,You will interact with delivery teams to validate and construct solutions designs across the enterprise systems and will also participate in delivery projects…,Senior,None,2/18/21
PHP Web Developer,Dubai,Lootah IT Solutions,None,To build or modify existing systems to meet the requirements captured by the team’s business analysts. To support the existing systems using a variety of …,None,None,2/18/21
Magento Lead Developer,Dubai,Vahedna Group,None,Performs daily and periodic system support tasks to ensure continuous systems operation. Works with project managers and business analysts on documenting…,None,None,2/18/21
Incident Response and Forensic Investigation Specialist,Dubai,Help AG,None,"Exclusive focus and vast experience in IT. Demonstrable experience in analysing and interpreting system, security and application logs.",None,None,2/18/21
Senior Business Analyst,Dubai,Majid Al Futtaim,None,"I.e. Qualtrics, CRM, Oracle, ERP systems, Document Management Systems, Content Management systems. I.e. Qualtrics, CRM, Oracle, ERP systems, Document Management…",Senior,None,3/11/21
Threat Hunting and Intelligence Analyst,Dubai,Help AG,None,"A solid understanding of IT systems and network security concepts. Exclusive focus and vast experience in IT. A degree in computer science, information systems,…",None,None,3/14/21
Programmer/Developer,Dubai,TGC Consulting Middle East,None,"Recommending system changes and enhancements. This opportunity is with a large IT Company based in Dubai, UAE. Testing and evaluating new programs.",None,None,2/18/21
Product Manager – People Tech,Dubai,Kitopi,None,"So, what does it really mean to work at Kitopi? We want to empower you to be the best version of yourself every single day - we wouldn’t have it any other way.",None,None,3/4/21
iOS Developer,Dubai,Connect Resources,"5,000-7,000",Implementing RESTful APIs as microservices systems. Working with business analysts to understand and implement complex business functionality.,None,3,3/16/21
SOC Manager,Dubai,HAYS,None,On these systems for further investigation. To identify affected systems and the scope of the attack. Take a leading role in a team of Security and Forensic…,None,None,2/18/21
Enterprise Data Engineer,Dubai,Scrips Inc. Ltd,None,4 years of experience implementing Data Management solutions or as Data Analyst/Data Architect/Business Systems Analyst. Ensure data standards are followed.,None,None,3/18/21
"SAP ABAP + RE-FX + FI Consultant-Dubai, UAE/ Offshore(India",Dubai,Adecco,None,Experience in cohesively working closely with other developers and analysts throughout the software development lifecycle.,None,None,2/18/21
Assistant General Counsel (UK & ME),Dubai,Black Pearl Consult,None,"Identify new opportunities for risk software, develop that software and deploy it internally and with our clients. Supervising the review of client terms.",None,None,2/18/21
Business analyst/ Testing Analyst Implementation Support,Abu Dhabi,Luxoft,None,Conversant with MSCI's BarraOne system. Work on the risk and performance measurement/attribution modules for the implementation of a Risk Analytics and…,None,None,2/18/21
Procurement Specialist,Abu Dhabi,BeamTrail,None,"Work experience on ERP system- Oracle EBS is preferred. Degree from a recognized university with a concentration on Electronics, IT, or similar.",None,None,3/10/21
Database System Analyst,Abu Dhabi,NMDC,None,"Installing, configuring, testing and maintaining operating systems, application software and system management tools. Set-up and management of databases.",None,None,2/18/21
IT Security Professional – senior,Abu Dhabi,Synergein Technology LLC,None,The Specific Skills of SOC analyst:  Responsible for auditing and managing Operating System’s on all production systems Develop procedures for system and…,Senior,8,2/19/21
Data Scientist,Abu Dhabi,Projobs4you LLC,None,"RDMS Systems (MySQL, MS SQL Server, Postgres, Oracle) : Proven experience as a Data Scientist or Data Analyst. Explain if you have the relevant experience.",None,5,3/18/21
Business Analyst CIB,Abu Dhabi,Marc Ellis Consulting,None,Studying AS IS business processes and system functionalities and propose TO BE functionalities either through system or processes enhancement’s.,None,None,2/18/21
Business Analyst IFRS 9,Abu Dhabi,Marc Ellis Consulting,None,The candidate should possess either a postgraduate degree or qualification in Information Systems / Business Administration. Company for a minimum of 7 years.,None,None,2/18/21
Finance Functional Consultant,Abu Dhabi,Mazaya,"25,000-33,000","10+ years of IT industry work experience including finance systems analysis, solution design, and deployment using EBS Oracle applications.",None,None,3/11/21
Business Analyst,Abu Dhabi,SquadX (a Xische Company),None,"A degree in IT / Computer Science. Help design, document and maintain system processes. We believe that diverse teams make innovation possible and that it is a…",None,None,2/18/21
Master Database Maintenance Supervisor- Microsoft Dynamics (...,Abu Dhabi,Adecco,None,Experience in liaising with and training the system users. Super User to maintain system integrity and continuous training to users. Report to head of Finance.,None,None,2/18/21
