Rank,skills,Percentage on Resumes
1,Enterprise Application Integration,
2,Identity Management,
3,Strategy,
4,Microsoft BizTalk Server,
5,IP Network,
6,Program Management,
7,Customer Relations,
8,Information Architecture,
9,PegaRules Business Process Management (PegaRules BPM),
10,Content Management,
