Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Business Development Head/General Manager,Dubai,Emirates Refreshments Company,None,"Improving overall health of the Business with respect to Market Share, Market expansion, Brand Building, Sales Value & Volume, Numerical & Weighted distribution…",None,None,2021-03-12
SAP Project Manager,Dubai,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-03-12
Sales Manager (Freight Forwarding),Dubai,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-03-24
DF Program Manager,Dubai,QExp Doc TranLLC-Dubai S Brnch,None,Amazon is looking for a supply chain specialist to work in a dynamic environment supporting vendors with day-to-day Operations on the Amazon Direct Fulfillment…,None,None,2021-03-12
Senior Bunker Trader,Dubai,HORIZON International Recruitment Services,None,"Survey ports/regions, tracking vessel movements and coordinating fuel delivery and surveillance of the total supply chain. Job Types: Full-time, Permanent.",Senior,10,2021-04-03
Digital Marketing Manager (Retail),Dubai,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-03-12
Business Development Manager (European 3PL),Dubai,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-03-12
Digital Marketing Manager (Clinics),Dubai,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-03-12
Procurement Specialist,Dubai,Arabian Millennium Medical Trading,None,Supply Chain Liaise and develop relations within supply chain. Assist in negotiations with contacts to obtain cost effective procurement Identify where new…,None,None,2021-04-08
Snr Drilling Engineer,Dubai,Petroplan,None,"Petroplan is the trusted, specialist global Talent Solutions partner of choice for employers and professionals in the Energy sector.",None,None,2021-04-01
Senior Bunker Trader,Dubai,HORIZON International Recruitment Services,None,"Survey ports/regions, tracking vessel movements and coordinating fuel delivery and surveillance of the total supply chain. YEARS OF EXPERIENCE : 10 plus.",Senior,10,2021-04-03
Assistant Supply Chain Manager (Medical Devices),Abu Dhabi,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-03-12
Registered Midwife,Abu Dhabi,Royal Womens Hospital,None,3.24 Identifies high risk pregnancies and communicates with doctors and other medical specialists as required. 1.3 LIAISES WITH : In-charge Nurse.,None,None,2021-04-06
Talent Supply Demand Associate Manager,Abu Dhabi,Accenture,None,Responsible for effective service delivery of all client supply and demand related processes. Experience of leading and managing supply and demand management…,None,None,2021-03-25
"Registered Nurse- Daycare Surgery , NMC Royal Hospital, Khal...",Abu Dhabi,NMC Royal Hospital KLF,None,3.1 Assists specialists / consultants in the specific procedures done of the ward. 3.14 Follows the reporting mechanisms/chain of command in the Nursing…,None,None,2021-04-10
Medical Research Specialist I (Genetics and Genomics),Al-Ayn,United Arab Emirates University,None,Set up polymerase chain reactions; trouble-shoot such reactions. Maintain and monitor inventory of all in-house DNA samples and reagent supplies.,None,None,2021-03-12
Registered Nurse- Pediatric OPD,Abu Dhabi,NMC Royal Hospital KLF,None,13 Follows the reporting mechanisms/chain of command in the Nursing Department. 20 Demonstrates an economical approach to the utilization of equipment’s and…,None,None,2021-04-06
Senior Consultant,Abu Dhabi,Alshaya Enterprises,None,"Coordinates with the Operations to ensure procurement, supply chain and installation/maintenance services are efficiently provided to the projects within the…",Senior,None,2021-03-12
Senior Procurement Specialist - Emirati national,Abu Dhabi,Black Pearl Consult,None,"Experience in contract management, tendering process and supply chain. Experience in contract management, tendering process and supply chain.",Senior,None,2021-03-12
Senior Specialist,Al-Ayn,United Arab Emirates University,None,Set up polymerase chain reactions; trouble-shoot such reactions. Maintain and monitor inventory of all in-house DNA samples and reagent supplies.,Senior,None,2021-03-12
Vice President - Technical Operations,Abu Dhabi,MPH Global Services,None,To plan and manage the provision of technical expertise and specialist services to NewCo's assets to ensure plants are enabled to generate the targeted output…,None,None,2021-03-31
Lighting Sales Manager,Abu Dhabi,Middle East Executive,None,We understand exactly how supply chain performance and sales performance impacts the bottom line and top line of product led businesses and we have the…,None,None,2021-03-12
Manager - Procurement,Abu Dhabi,Digital14,None,Team leadership : Developing KPIs and performance measurements that are aligned with the Digital14’s directions and goals; Establishing and communicating clear…,None,None,2021-03-12
Strategic Sustainability Associate,Abu Dhabi,Sustainable Recruitment Solutions,None,Life cycle analysis and review of supply chains utilising sustainability matrices / criteria. Development of Sustainability guidelines and frameworks for large…,None,None,2021-03-12
Registered Nurse,Al-Ayn,NMC Specialty ALN,None,3.13 Follows the reporting mechanisms/chain of command in the Nursing Department. 3.1 Assists specialists / consultants in the specific procedures done in the…,None,None,2021-04-06
Registered Midwife,Abu Dhabi,Royal Womens Hospital,None,3.24 Identifies high risk pregnancies and communicates with doctors and other medical specialists as required. 1.1 REPORT TO : Nursing Supervisor/ Incharge.,None,None,2021-04-06
Registered Nurse- Pediatric OPD,Abu Dhabi,NMC Royal Hospital KLF,None,13 Follows the reporting mechanisms/chain of command in the Nursing Department. 1 Assists specialists / consultants in the specific procedures done in the…,None,None,2021-04-06
Strategic Sustainability Associate,Abu Dhabi,Sustainable Recruitment Solutions,None,Life cycle analysis and review of supply chains utilising sustainability matrices / criteria. Sustainable Recruitment Solutions (SRS) are advertising for an…,None,None,2021-03-12
PROCUREMENT SPECIALIST,Fujairah,JAMS HR Solutions,None,To execute purchasing activities as per Supply chain procedures to ensure on time supplies of materials and services requirement in order to optimize cost &…,None,None,2021-04-08
SUBSEA VALVES AND EQUIPMENT SPECIALIST,Sharjah,Profile Middle East,None,"Internal interface with supply chain (buyer, inspection, expediting) and project management team. Provide specialist skills and knowledge in subsea valves…",None,None,2021-04-11
Specialist Transportation ( Oil & GAS ),Al Hamriyah,Exterran,None,Master’s Degree in supply chain management. Five to seven years of supply chain industry experience with knowledge of domestic and international freight…,None,None,2021-03-12
SUBSEA OFFSHORE GEOTECHNICAL ENGINEER,Sharjah,Profile Middle East,None,"Internal interface with supply chain (buyer, inspection, expediting) and project management team. Provide specialist skills and knowledge in subsea valves…",None,None,2021-04-11
PROCUREMENT SPECIALIST,Ras al-Khaimah,JAMS HR Solutions,None,To execute purchasing activities as per Supply chain procedures to ensure on time supplies of materials and services requirement in order to optimize cost &…,None,None,2021-03-24
