Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Buyer,Dubai,"Aggreko, LLC",None,Itâ€™s the Aggreko way of working â€“ we call it Always Orange. Proper review on product details whether it match the requirement & savings scope while processingâ€_,None,None,3/30/21
Graphic Designer (Canva Specialist),Dubai,Above Digital,None,Exceptionally detailed when it comes to spelling and grammar. You do what you say youâ€™re going to do when you said you would do it. You have an eye for design.,None,3,3/19/21
Utilization Managment Specialist - ARE,Dubai,Milliman,None,"Collaborate with our clinical, IT, and consulting teams and lead the work on projects, influence change management, drive training strategy, and coordinateâ€_",None,None,2/28/21
Sr. Workday Data Integration Specialist,Dubai,Talabat,None,"Map and review of current Workday data architecture to ensure it meets data requirements which support business rules/processes, standard operating proceduresâ€_",Senior,None,3/23/21
Backoffice/ execution Specialist (m/f) Dutch Nationality,Dubai,Commodity Line Trading DMCC,None,"Our company is growing every year and offers international opportunities for the ones willing to work for it. Certificates, CMRs, BLs, invoices etc.),.",None,None,3/23/21
CCNA - Technical Support Specialist PV,Dubai,Canon,None,Ensure that work processes and workflows exist for all Technical Support Specialist related tasks. Problem resolution will be either from technical specialistsâ€_,None,None,2/28/21
Digital Marketing Specialist,Dubai,First Response Healthcare LLC,"4,000-8,000","We are currently hiring for a Digital Marketing Specialist to join our team. If you are someone who is looking to give your career the right boost, we have allâ€_",None,None,3/16/21
Digital Marketing Specialist,Dubai,Hashgate IT TECHNOLOGY,"5,000-6,500","We are looking for a digital marketer who understand the full marketing mix and be familiar with ways to analyze market research, customersâ€™ behavior, and ableâ€_",None,None,3/9/21
Procurement Officer,Dubai,Ecocoast Contracting,None,You can write it on top of your resume. Ecocoast Contracting provides specialist marine contracting services for coastal projects in the UAE and abroad.,None,None,3/26/21
Documentation Logistics Specialist Required,Dubai,ACTIKNOW,None,It will be a plus: Analysis of business and functional requirements of developed solutions; Designing solutions and services taking into account theâ€_,None,None,2/28/21
"Customer Relations Manager | IKEA | Jebel Ali, Dubai",Dubai,IKEA,None,Serve as a well-qualified home furnishing specialist. Take our engaging and supportive work environment and couple it with a company culture that recognises andâ€_,None,None,3/10/21
Universe Specialist - Decathlon,Dubai,Azadea,None,Control merchandising of products in order to optimize sales and ensure it is in line with brand image and standards.,None,None,2/28/21
Etail Marketing Specialist - GCC,Dubai,Logitech,None,"Thatâ€™s a pretty sweet spot to be in and weâ€™re always striving to keep it that way. Logitech is the sweet spot for people who are passionate about products,â€_",None,None,3/25/21
IT Sales Executive,Dubai,NetCity,None,"Can handle hardware or software problems and faults, referring on to specialist technical colleagues where appropriate. Social distancing guidelines in place.",None,None,3/26/21
