Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Manager - Client Relations & Business Development (Structure...,Dubai,Munich Re,None,"Develop and maintain effective business relationships with all relevant internal sections and external entities such as business partners, key stakeholders,…",None,None,2021-03-29
IT Support Engineer,Abu Dhabi,Al Madina Agencies And Services,None,Maintain records and provide reports to inspection agents such as internal or external auditors quickly and accurately when needed.,None,None,2021-03-29
Auditor,Abu Dhabi,Soft Power,None,Conducting External and Internal Audit for the clients as required. Supervising Accounting assignments as per IFRS. Flexible to new situations and challenges.,None,None,2021-03-10
IT Infra and Security Architect,Abu Dhabi,4th Wave,None,"Enterprise Architecture Principles (Create, Implement and Maintain). Solution Architecture and Designing (Infra, Security & Business Applications).",Architect,None,2021-03-10
Accounts Admin,Abu Dhabi,JAMS HR Solutions,None,Maintains a variety of complex ledgers and journals. Prepare a variety of complex fiscal statements and reports. Balances and reconcile assigned accounts.,None,None,2021-03-14
Sales Executive,Abu Dhabi,Al Gurm Crossfit,None,"Assist in audit procedures required by auditor and relevant Manager and/or Corporate staff, or third party when required. Relevant skills set and competencies*.",None,2,2021-03-10
Internal Auditor,Al-Ayn,United Arab Emirates University (UAEU),None,"Provides assistance to external auditors as requested. Job Description Plans and executes various financial, compliance and operational audits in accordance…",None,None,2021-03-22
Director of Information Technology,Abu Dhabi,Marc Ellis Consulting,None,Define and implement IT strategy for X Corporate to deliver the brand promise. Define and deliver the IT agenda for X Corporate leveraging specialist team…,None,None,2021-03-10
EY Abu Dhabi Emirati Foundation Program (UAE Nationals Only),Abu Dhabi,Ernst & Young,None,The EY Abu Dhabi Emirati Foundation Program (UAE Nationals Only) will provide you with a practical on-the-job one-year experience that will enable you to grow…,None,None,2021-03-16
Automation Developer,Abu Dhabi,Group 42,None,"Responsibilities: - Write clean, testable, secure, and dynamic codes based on standard web development best practices - Build and maintain innovative web…",None,None,2021-03-10
Finance Controller (Farm),Al-Ayn,OilExec,None,"Ensure the maintenance of strong working relationships with banks and other financial institutions, insurance companies, customers, suppliers and external…",None,None,2021-03-10
"Director, Internal Audit and Risk Management - Office of Ent...",Abu Dhabi,NYU Abu Dhabi,None,Recommend improvements to the internal audit program and performance of the outsourced internal auditor. Act as the key point of contact between the outsourced…,None,None,2021-03-22
Head of Compliance (Emirati national),Abu Dhabi,Black Pearl Consult,None,"Working cooperatively with external auditors when needed. For this role, you will be is primarily responsible for overseeing and managing compliance within the…",None,None,2021-03-10
Senior Analyst Financial Reporting & Tax,Abu Dhabi,SUNDUS RECRUITMENT & OUTSOURCING SERVICES LLC,None,"P&l, b/s, cash-flow, sce, notes and other account specific reports] quarterly/annual external audit lead quarterly/annual preparation of consolidated financial…",Senior,None,2021-03-10
