Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
DevOps engineer – Fintech,Dubai,EOS Recruitment,None,"Monitor systems health and security. Work as a DevOps team leader resource in an experienced team, building IaaS/PaaS solutions for FinTech and Financial…",None,None,2021-03-09
Head of Department -Engineering/Tech,Abu Dhabi,Callsign,None,"Familiarity with application security, cryptography, and security practices. Tech leads, principal engineers, architects). And this is just the beginning.",None,None,2021-02-20
