Rank,skills,Percentage on Resumes
1,Oracle eBusiness Suite,
2,People Management,
3,Service Oriented Architecture (SOA),
4,Data Warehouse,
5,Team Leadership,
6,Virtualization,
7,Customer Relationship Management (CRM),
8,Writing Procedure & Documentation,
9,Research Analysis,
10,Database,
