Rank,skills,Percentage on Resumes
1,Development Operations (DevOps),
2,SAP Financial Accounting and Controlling (SAP FICO),
3,Security Risk Management,
4,InfoSec Skills (DW/BI Project Assignments),
5,PeopleSoft,
6,Security Testing and Auditing,
7,Enterprise Resource Planning (ERP),
8,Amazon Web Services (AWS),
9,Oracle Applications,
10,SAP Customer Relationship Management (SAP CRM),
