Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Technical Success Manager - Dubai,Dubai,OutSystems,None,OutSystems is looking for a Technical Success Manager. We are in search of Technical Account Managers to support and advise our valued customers on the use of…,None,None,2/16/21
"Account Manager, Hospitality, Dubai",Dubai,"Diversey, Inc.",None,Consult with Corporate Account Managers to ensure account management support delivered in respective accounts. Drives Ownership and High Performance:,None,None,3/17/21
SPECIALIST – TALENT ACQUISITON,Dubai,Emirates National Oil Company,None,Determine their date of joining as agreed with line managers. Provide inputs to enable the Section Manager to prepare weekly and monthly reports for the section…,None,None,3/18/21
Customer Relationship Manager,Dubai,Siddhi International LLC,None,Strong writing skills to communicate with internal partners or even to write technical training manuals for end users.,None,None,3/7/21
Project Coordinator/Manager,Dubai,TAKELEAP DMCC,"6,000",Prepares and presents oral and/or written technical reports and project presentations. Identifies the technical approach to be used on a given project and…,None,None,2/16/21
Assistant Operations Manager,Dubai International City,Al Qawafel Express Cargo Transport by Heavy Trucks...,"4,000",Planning for and negotiating technical difficulties. Freshers no need to apply \*\*. An all round Road Container Transport specialist with Middle East…,None,None,3/10/21
IT Administrator,Dubai,British Council,None,"Investigating and resolving technical problems. Provide technical and administrative support to IT service delivery by identifying,. Act as OSO2 role on SAP.",None,None,3/14/21
Technical Account Manager,Dubai,Nexus Group,None,"As a Technical Account Manager, you will be responsible in engaging and maneuvering large technically complex deals, managing all technical aspects of Nexus’…",None,None,3/2/21
Head of Technical Services - Jumeirah Group & Corporate,Dubai,Jumeirah,None,"Strong communication skills with the ability to interact effectively with Owners, Owners’ Asset Managers, Architects, Construction Trades , Project Managers,…",None,None,2/16/21
ITSM - ITIL - Service / Support Manager,Dubai,eMagine Solutions,None,"Direct reports will include an Incident Manager, Service Manager, Problem Manager, Change Manager and Config teams.",None,None,3/11/21
Branch Operations Manager,Dubai,Dreamworks Spa,None,Technical knowledge for wellness/massage/body treatment services. With 3 to 5 years of work experience as Spa Manager in UAE.,None,3,3/15/21
Construction Manager,Dubai,Sahab HR Consultancy,"18,000-30,000","Must be able to independently control a large team of technical staff and workforce and responsible for safety, quality and productivity.",None,10,2/22/21
Distribution Account Manager MEA,Dubai,CommScope,None,"Have the technical know-how to demonstrate technical products to distributors, channel partners and end clients. You Will Make an Impact By:",None,None,3/17/21
General Manager,Dubai,Nathan & Nathan,None,Executive Secretary of the General Manager (direct responsibility). Executive Director (the immediate responsible before the General Manager).,None,None,2/16/21
