Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Category Manager - Bakery Solutions,Dubai,Bidfood,"15,000-20,000",It is essential that you hold a College Degree. Accountable to achieve and exceed the sales and profitability targets set by the brand and by the company.,None,5,2021-03-09
Food and Beverage Manager,Dubai,Doubletree by Hilton,None,What will it be like to work for Hilton? Carry out annual and mid-year appraisals with Managers under your responsibility. What will I be doing?,None,None,2021-03-17
IT Manager,Dubai,RTC-1 Employment Services,None,"Up to 9,000 AED all-inclusive depending on experience and qualifications Job Location: Dubai, UAE About the Client:",None,None,2021-02-16
IT Manager,Dubai,Aroma City Group,None,Co-ordinate with IT Managers subsidiaries to ensure presence of validated Disaster Recovery processes. Co-ordinate with IT Managers subsidiaries to ensure…,None,None,2021-02-16
IT Project Manager,Dubai,TGC Consulting Middle East,None,"This opportunity is with a large IT Company based in Dubai, UAE. As a Project Manager, you are responsible for planning, overseeing and leading projects from…",None,None,2021-02-16
Service Delivery Manager,Dubai,Chalhoub Group,None,"Maintaining relationships with technical teams, IT, and business partners; You know what it means to be conscience of the customer and consider the customer in…",None,None,2021-03-12
Regional Talent Manager - MEIA,Dubai,Cartier,None,It also actively contributes to projects at local and international level as part of the International Talent Management strategy. What is your main role?,None,None,2021-03-18
Assistant Front Office Manager,Dubai,MOVENPICK,None,"What is in it for you: As an Assistant Front Office Manager, you will show your leadership and interpersonal strengths to maximize the Rooms Operations, and…",None,None,2021-03-09
Assistant Restaurant Manager,Dubai,SOFITEL,None,To undertake any reasonable tasks as assigned by the Restaurant Manager and the Food & Beverage Manager. What is in it for you: What you will be doing:,None,None,2021-03-16
Client Relationship Executive (Female) DMS Global – Dubai,Dubai,DMS Global,"10,000-12,000","Obtaining client feedback, and put it in action. Below are the job responsibilities for the account manager, however, the job is not solely limited to the below…",None,,2021-02-22
HR Manager / Office Management,Dubai,Aluminium Systems,"2,414-9,873","The office manager component of this position is responsible for overall front office activities, managing IT, large purchasing requests and facilities and…",None,None,2021-02-28
Global Manager - Ecommerce & Last Mile Customer Success,Dubai,Aramex,None,"Excellent cross functional skills including Sales, Operations, Invoicing, IT etc. You will be responsible for overall relationship and retention of a set of…",None,None,2021-03-17
Assistant Operations Manager,Dubai International City,Al Qawafel Express Cargo Transport by Heavy Trucks...,"4,000",Freshers no need to apply \*\*. An all round Road Container Transport specialist with Middle East experience who is currently in the region and has experience…,None,None,2021-03-10
