Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Desktop Support Engineer,Dubai,Telephony Group of Companies,"5,000-5,500","Security Patch Management, Software upgrades/updates. Installation and configuration of the software. Desktop calls, Printing problems, LAN problems, Network…",None,None,2/16/21
Radio Frequency Engineer,Media City,Samsung Electronics,None,Perform software testing including inter-operability and compatibility with live network. As a member of the Mobile Quality Assurance team you will be…,None,None,2/16/21
Electrical engineer,Dubai,GERAL,None,"You are familiar with CAD software (See Electrical,EPlan, AUTOCAD...). Provide electrical drawings and general arrangement documents with CAD software (SEE…",None,None,2/16/21
Excel software specialist,Dubai,SWITCHGEAR MANUFACTURING & Trading COMPANY LLC,"8,000-10,000",Highly experienced engineer with specialized in excel software for a software developing company. Only those who have knowledge of Excel formulas please apply…,None,None,2/16/21
Magento Engineer,Dubai,Eyewa,"14,000-18,000",Document the software that you build where necessary. Good understanding of basic software design patterns and principles (DDD is a plus).,None,3,3/8/21
Software Engineer,Dubai,Fractal 3D Systems,None,Responsibilities for the Software Engineer. Requirements for the Software Engineer. Integrating software components into a fully functional software system.,None,None,2/16/21
Senior Sales Executive,Dubai,Ei community,"20,000","You’ll engage with cross-functional teams that include e.g. marketing, engineers, product owners, psychologists and product managers. Arabic is a big plus.",Senior,7,3/5/21
Science Data Engineer,Dubai,Mohammed bin Rashid Space Centre,None,Maintaining SDC software and resolving issues. Preferred Two years’ experience in software. Carry out the SDC software design and development.,None,None,2/16/21
Software Engineer II - Android,Dubai,Talabat,None,"As part of the Delivery Hero network, Talabat is the pioneer of the online food ordering industry in the Middle East. Able to speak Kotlin and Java fluently.",None,None,3/9/21
IT Enabled Services Support Engineer,Dubai,KPMG,None,"Backup software (Veeam and Veritas). SCCM, Desktop Encryption Software, RSA Server, Exagrid. Hardware Management Software (SSD, Smart-Start, Insight Manager).",None,None,2/16/21
Software Test Engineer - Automation,Dubai,Hello Chef,None,The mission of the Software Test Engineer is to take responsibility for delivering high quality software to our users with zero defects.,None,None,2/16/21
Field Service Engineer,Dubai,INOVA Geophysical FZE,"8,000-9,000","Installation of specific application software. Once trained in the sophisticated technology manufactured by INOVA, the Field Service Engineer will have special…",None,None,2/16/21
