Rank,skills,Percentage on Resumes
1,User Experience (UX) Design,
2,Informatica,
3,Problem Solving,
4,Network Architecture,
5,Network Design,
6,Systems Engineering,
7,Software Architecture,
8,Enterprise Application Integration,
9,Business Development,
10,Java/JsEE,
11,SAP Sales and Distribution (SAP SD),
