Rank,skills,Percentage on Resumes
1,Microsoft Office,
2,Adobe Dreamweaver,
3,Interaction Design,
4,Adobe Flash,
5,Figma,
6,User Research,
7,Usability Testing,
8,JavaScript,
9,User Experience (UX) Design,
10,Sketch,
