Rank,skills,Percentage on Resumes
1, SAP Basis,
2,PaaS (Platform as a service),
3,SAP Production Planning (SAP PP),
4,Data Migration,
5,Big Data Analytics,
6,Business Strategy,
7,Master Data Management (SAP MDM),
8,Artificial Intelligence (AI),
9,Portfolio Management,
10,IOS,
,,
,,
,,
,,
