Rank,skills,Percentage on Resumes
1,Team Leadership,
2,Content Management,
3,Product Management,
4,Design,
5,WordPress,
6,Software Development,
7,Strategic Project Management,
8,Interaction Design,
9,Project Management,
10,Information Architecture ,
,,
,,
,,
,,
,,
