Title,Location,Company,Salary,Synopsis,Level,Experience,Date Posted
Sales Manager,Dubai,Condo Protego,None,"Ideal candidates must have at least 6 years of sales experience in enterprise IT sector, minimum 3 years direct selling experience of Enterprise Software,…",None,None,2/23/21
Director - Finance,Dubai,Dubai Parks and Resorts,None,"Support the IT Manager in continuously improving level one support of operational systems and hardware, and strategic development of new applications.",None,None,2/23/21
Senior Data Analyst - Al Futtaim Automotive,Dubai,Al-Futtaim,None,"Work closely with the Customer Data Manager, group Data / IT teams and the Automotive brands, and potentially vendors, to identify data governance, data quality…",Senior,None,3/22/21
Watson Health Client Solution Professional,Dubai,IBM,None,Required Technical and Professional Expertise. Preferred Technical and Professional Expertise. Minimum of 5 years technical sales experience in the IT Sector…,None,None,3/23/21
Senior Supply Program Manager,Dubai,Amazon Middle East and NA FZ,None,"In order to achieve this, our team is focused on managing the business and collaborating with retailers, internal teams and global technical teams to build long…",Senior,None,3/7/21
District Cooling Plant (DCP) Engineer,Dubai,Al-Futtaim,None,"Proficient in MS Office suites including MSWord, Excel, PowerPoint, Project Manager. Take our engaging and supportive work environment and couple it with a…",None,None,2/23/21
Senior System Engineer Transportation Systems (m/f/d),Dubai,Departer - The German Headhunter,None,Support new business initiatives such as technical proposal preparation and setup of technical presentations. Provide on-site technical support for the software…,Senior,None,3/15/21
Web Development Manager,Dubai,Consult Arabia,None,"Responsibilities of a Web Development Manager include overseeing the project from conception to implementation, designing and developing web architecture, and…",None,None,2/23/21
Cloud Platforms & DevOps Manager,Dubai,Majid Al Futtaim,None,"You will be a culture change agent, customer interface, technical advisor, negotiator and people leader. The primary duties of the Cloud Platforms & DevOps…",None,None,3/12/21
Assistant Director of Engineering,Abu Dhabi,Rosewood Hotels & Resorts,None,"To report to his supervisor or respective Manager. Working knowledge of plumbing codes, electrical codes, national/local fire codes, local mechanical codes,…",None,None,2/23/21
Design Coordinator (6 Month Fixed Term Contract),Abu Dhabi,AECOM,None,"+ Follows technical direction and guidance from senior managers, abides by company and project policies, helps build client interface, and supports all facets…",None,None,3/24/21
SHIFT CHEMIST,Abu Dhabi,SOS HR,None,Prepare monthly area technical and safety report. Prepare some technical procedures and involvement in review process. Please find below for job details.,None,None,2/23/21
Methods Engineer,Abu Dhabi,NMDC,None,Support the Proposal Manager with all Technical aspect of tender. Prepare computation and compilation of project technical content of project quotations in…,None,None,2/23/21
Service Engineer,Abu Dhabi,ABB,None,"Interacting with the terminal’s IT personnel, advising on the type of data to expect. Conducting unit testing, taking notes and verifying that pieces are tied…",None,None,3/4/21
Sr. PDS Administrator,Abu Dhabi,Rejlers Finland & Abu Dhabi (UAE),None,Creation of ELP in PDS drawing manager and extraction through OrthoGen to provide it to users for further development. We are now looking for Sr.,Senior,None,3/5/21
Senior Environmental Consultant,Abu Dhabi,Mott MacDonald,None,"Strong technical writing technical skills are mandatory. Ability to demonstrate a thorough understanding of statutory, technical and environmental…",Senior,None,2/26/21
Marketing & Communications Internship,Abu Dhabi,Alpin Limited,None,"Up-to-date social media and IT skills; Previous Collaboration with graphic designers, web specialists, and other technical team members to create successful…",None,None,2/23/21
Senior Engineer - Desalination,Abu Dhabi,Mott MacDonald,None,Perform the technical review of the process / technological deliverables of engineering packages during the execution stage of desalination projects and attend…,Senior,None,2/23/21
METALWORK ESTIMATOR,Abu Dhabi,Super Sign Advertising,None,Maintain technical knowledge by reviewing technical publications. Excellent IT and numeracy skills. Ability to undertake a reasonable level of technical and…,None,None,2/23/21
Photocopier Technician,Abu Dhabi,National Printing Centre,None,Stay up to date with technical know how and attend all technical training courses. You will be reporting to the Team Leader / Service Manager.,None,None,2/23/21
Steward,Abu Dhabi,Rosewood Hotels & Resorts,None,"To report to his supervisor or respective Manager. Attend all training arranged by Hygiene, Health & Safety Manager such as OSH training, safety Induction, on…",None,None,3/3/21
Mechanical Engineer,Abu Dhabi,"BB&E, Inc.",None,"Provide support by facilitating meetings and developing technical presentations, etc. as required. Collect data and compile it into files compatible with the…",None,None,2/23/21
HR Intern,Abu Dhabi,Alpin Limited,None,"Administrative and IT Support (General – to be managed in conjunction with IT); A pleasant attitude - Happy to join a close-knit, entrepreneurial, technical…",None,None,2/23/21
Dredging Superintendent,Abu Dhabi,NMDC,None,"Reporting of defects to vessels or their auxiliary equipment to the Technical Department, the Project Manager and the Head office.",None,None,2/23/21
